MUATHUONGLUU		LUONGMUA	226	mm	      	20241125001500  00
THUONGLUU		MUCNUOC		245	m	      	20241125001500  00
HALUU			MUCNUOC		15	m	      	20241125001500  00
DUNGTICH		DUNGTICH    	91.2	trieum3		20241125001500  00
QDEN			LUULUONG	56    	m3/s        	20241125001500  00
QUATRAN			LUULUONG	35	m3/s        	20241125001500  00
NHAMAY			LUULUONG	41.860000610351562    	m3s         	20241125001500  00
DCTT			LUULUONG    	3     	m3s         	20241125001500  00
LUULUONGHADU		LUULUONG	46	m3/s	      	20241125001500  00
DUKIENLUULUONGHADU	LUULUONG	31    	m3/s	      	20241125001500  00
MUCNUOCHODUKIEN12GIO	MUCNUOC		65 	m	      	20241125001500  00
